"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий,building_id
Санкт-Петербург,Курортный район,п.Лисий Нос, д.41  лит.А,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Морские Дубки ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.29  лит.Б,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Пограничная ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.56  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, пом.1,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Пограничная ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.  уч. 18,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Пограничная ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.56  ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, пом.2,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, Пограничная ул,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
Санкт-Петербург,Курортный район,п.Лисий Нос, д.52 А ,2023-09-25 09:00:00,2023-09-25 20:00:00,Северные электрические сети,Курортный РЭС,"ремонт ВЛ-0,4кВ",
