"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Ленинградская область,Гатчинский район,Высоколючевой,,2023-09-19 09:00:00,2023-09-19 18:00:00,Гатчинские ЭС,Гатчинский РЭС,Замена провода в пролете опор №54/8-54/12
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",2023-09-19 09:00:00,2023-09-19 17:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Волховский район,д. Загубье,Озёрная,2023-09-19 09:00:00,2023-09-19 16:00:00,Новоладожские ЭС,Лодейнопольский РЭС,Плановое отключение
Ленинградская область,Волосовский район,Клопицы (частный сектор),население,2023-09-19 09:00:00,2023-09-19 12:00:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8156
Ленинградская область,Волосовский район,"Реполка ,  Селище,  Сосново",население,2023-09-19 09:00:00,2023-09-19 17:00:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на  ПС-Сосницы
Ленинградская область,Гатчинский район,Большие Колпаны (часть),1-й Семилетки,2023-09-19 09:00:00,2023-09-19 18:00:00,Гатчинские ЭС,Гатчинский РЭС,ТП-205 замена провода в пролетах опор 1-10
Ленинградская область,Волховский район,д. Волосово,,2023-09-19 09:00:00,2023-09-19 17:10:00,Новоладожские ЭС,Волховский РЭС,Работы для улучшения качества и надежности электроснабжения потребителей в период низких температур и неблагоприятных погодных условий (с включением потребителей на ночь).
Ленинградская область,Тихвинский район,"ТП 143-29-02 (СТО),  ТП 143-29-03 (Автомир),  ТП 143-29-04 (Околица)",,2023-09-19 09:00:00,2023-09-19 17:00:00,Тихвинские ЭС,Тихвинский РЭС,
Ленинградская область,Лужский район,Дубо,,2023-09-19 09:00:00,2023-09-19 17:00:00,Кингисеппские ЭС,Лужский РЭС,
Ленинградская область,Волосовский район,Ущевицы,,2023-09-19 09:00:00,2023-09-19 16:00:00,Кингисеппские ЭС,Кингисеппский РЭС,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,2023-09-19 06:00:00,2023-09-19 18:00:00,Тихвинские ЭС,Бокситогорский РЭС,
Ленинградская область,Гатчинский район,"Пудость,  Покизен-Пурская,  Алапурская,  Ивановка,  Юля-Пурская,  СНТ Торфопредприятие,  Мыза-Ивановка Пегелево,  Сокколово,  Б. Рейзино,",,2023-09-19 00:01:00,2023-09-19 23:00:00,Гатчинские ЭС,Гатчинский РЭС,переключения 40 минут в указанный промежуток времени
Ленинградская область,Ломоносовский район,"д.Лопухинка (частично),  д.Ст.Буря,  д.Мёдуши,  д.Савольщина,  д.Заостровье (частично),  д.Нов.Буря,  д.Горки,  д.Никольское,  ур.Никкорово,  д.Муховицы,   а также все СНТ(ДНП) в районе данных населённых пунктов.","Население,  скважины,  ЦОО ""Березняки""",2023-09-19 00:01:00,2023-09-19 04:00:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые переключения по переводу нагрузки. Время отключения 10-40 минут в указанный промежуток, по всем населенным пунктам."
Ленинградская область,Волосовский район,"д.Шелково,  д.Голубовицы,  а также все СНТ (ДНП) в районе данных населённых пунктов.","Население,  скважины",2023-09-19 00:01:00,2023-09-19 04:00:00,Гатчинские ЭС,Ломоносовский РЭС,"Плановые переключения по переводу нагрузки. Время отключения 10-40 минут в указанный промежуток, по всем населенным пунктам."
