"Регион РФ (область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время восстановления отключения электроснабжения,Филиал,РЭС,Комментарий
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Революции ш.,  д.102/2,  88 лит.Х",2023-09-21 12:00:00,2023-09-21 18:00:00,Кабельная сеть,Восточный РЭС,
Ленинградская область,Гатчинский район,"п.Новинка, д.Новинка, Озерешно, Ольховец, Нестерково, Тарасино, Чаща, Дальний, Воцко, Кремено, Ракитино, СНТ""Новинка"".",,2023-09-21 12:00:00,2023-09-21 16:00:00,,,Работы на ПС-35 кВ Новинка.
Санкт-Петербург,Московский район,Санкт-Петербург,7-й Предпортовый пр. д. 1а,2023-09-21 12:00:00,2023-09-21 17:00:00,Кабельная сеть,Южный РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"Бухарестская улица,  дом 96,  литера А.",2023-09-21 11:00:00,2023-09-21 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Фрунзенский район,г. Санкт-Петербург,"ул. Будапештская,  д. 45,  лит.А; д. 49,  лит.Б; ,  д. 49,  к.1,  лит.А; д. 51,  лит.А; д. 55,  лит.А; Альпийский пер.,  д. 23,  к.2,  лит.А",2023-09-21 11:00:00,2023-09-21 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Невский район,г. Санкт-Петербург,"ул. Бабушкина,  д. 56,  к.1,  к.2,  к.3; д. 58,  к.1,  к.2; д. 60; ул. Леснозаводская,  д. 3",2023-09-21 11:00:00,2023-09-21 17:00:00,Кабельная сеть,Невский РЭС,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"пр.Новочеркасский,  д45к2",2023-09-21 11:00:00,2023-09-21 13:00:00,Кабельная сеть,Правобережный РЭС,
Ленинградская область,Всеволожский район,"Вартемяги,  Скотное ,  Рапполово,  Кавголово,",,2023-09-21 11:00:00,2023-09-21 17:00:00,Северные электрические сети,Сертоловский РЭС,
Санкт-Петербург,Петроградский район,Санкт-Петербург,"Александровский парк,  д. 3Г,  д. 4 к. 5,  пом.1Н; д. 5 лит. А,  Б,  В,  Г,  Д; Кронверкская наб.,  д. 3 лит. А,  д. 3 к.2",2023-09-21 11:00:00,2023-09-21 13:00:00,Кабельная сеть,Островной РЭС,кратковременное гашение на 10мин
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Стародеревенская д. 5,  ул. Стародеревенская д. 6 к. 1,  ул. Школьная д. 86 к. 2,  ленсвет.",2023-09-21 10:00:00,2023-09-21 18:00:00,Кабельная сеть,Западный РЭС,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Нижне-Каменская д. 11,  ул. Нижне-Каменская д. 7 к. 1,  ул. Нижне-Каменская д. 7 к. 2,  Светофор,",2023-09-21 10:00:00,2023-09-21 17:00:00,Кабельная сеть,Западный РЭС,
